,댓글,혐오여부
14,이년 진짜닥터보지였노 꿀정보 고맙노 ㅇㅊ다이기,
15,이글을 더 일찍 봤다면 좋았을텐데 오래전 일이긴하지만 과잉진료 받은적이 있었노 그후로 치과 1년에 한번씩 가고 치실 구강세정기 구비해놓고 쓰고있노,
16,아침부터 정신똑띠되는 꿀정보 고맙노. 남으사는 거르고본다이기,
17,치과는 비용도 크고 비전문가는 알기 어려워서 헤매는 보지 많을텐데 정보 공유 고맙다 이기야,
18,아묻따 칼푹찍 ㅋㅋ 터졋노 꿀팁엔 개추야,
19,나는 개방교합인가 그거인데 교정 안하면 앞니 얼마 안가서 다 빠져버릴거라고 말했던 의사보이 생각나노 좆팔. 남의사는 거르고 봐야하노,
20,"502/ 그 의사보이 뭐라하는거노ㅋㅋㅋㅋ 네가 불편하지않으면 그대로 살아도 된다 이기야 내 환자들 중에도 openbite(개방교합), crossbite(부정교합)환자들 여럿 있는데 아무 문제 없이 잘만 치료받고 가노ㅋㅋㅋㅋ",
21,노무 고맙노 워추 박노 이기,
22,신경일부 죽어서 색 변한경우에도 신경치료 하면 안되노? 웜송하지만 지금 내상태가 그렇노 ,
23,정보글 고맙노 다들 치과의사한테만 진료받아라 이기야,
24,712/ 신경이 죽은 게 확실하면 신경치료 해야하노. 왜냐하면 신경이 죽었을때 치아는 스스로 영양공급을 하지 못해서 바스라지노. 쓸 수 있을 때까진 쓰는 게 좋다지만 그래도 내 생각엔 빨리 치료하는것이 좋겠노.,
25,"치아가 썩어서 파이고 그 파인 곳에 음식물이 껴서 앵나오게 아프면 신경치료하노? 나년 초딩전사시절 끝 어금니들이 거의 다 저래서 하나 빼고 다 크라운 씌웠노. 의사뽀이였던지라 이 글 보니까 갑자기 생각났노.
게다가 지금 교정중인데 이번 주치의도 뽀이라 일단 이 꿀정보 보지에 새겨두겠노 고맙노
",
26,271/ 어디까지 썩었는지가 중요하노. 만약 얼마 안 썩었다면 레진이나 인레이로 때울 수도 있고 그렇노. 치과가서 파노라마 찍고 확인해보면 되겠노. 내가 직접 볼 수 없는게 노무 아쉽노 광광,
27,과잉치료로 크라운 씌우자 금씌우자 난리난리하길래 겁먹고 딴 병원 갔더니 치료할거 없다드라이기 정보글 고맙노,
28,참의사 역시 웜년이였노 고맙다이기,
29,"앞니에 반점있는데 미용문제 외에 건강상으로 꼭 삭제하고 씌워야하노?
앞니에 원래 금가 있고 술먹고 넘어져서 좀 부러져가지고 언젠간 크라운 씌워야 할 것 같긴하노 앞니 부서졌을 때 치과 다 돌았는데 무조건 크라운하자는데 예약까지 잡고 겨우 취소해서 다른 곳에서 레진으로 때웠다이기",
30,일은 한남소추만큼하고 돈은 한남후장넓이만큼 벌어라 이기야 ㅇㅊ,
31,ㅇㅊ,
32,843/ 반점치는 건강상으론 전혀 문제가 없다 이기야 본문 자세히 봐라 이기. 그리고 금가고 부러진 정도는 레진으로 충분히 할 수 있노. 근데 손재주 없고 실력없는 의사보이들이 괜히 크라운 하자고 좆부랄하는거다 이기야. 레진으로 하길 잘했노.,
33,너년같은 참의사는 어떻게 구별하노 일단 남의사는 옛날옛적부터 걸러왔다 이기야. 워낙 치아가 건강해서 별다른 권유는 안받았지만 그래도 충치 치료 레진으로 해왔노 ㅡㅡ 충치 겁주면서 퍼진다고 하길래 괜히 갈아내고 그래서 기분이 안좋노. 너년같은 참의사 만나고 싶노 ,
34,정보글 고맙노 형근 나 물어 보고 싶은 게 있노 교정하고 나서 턱관절 아작나는 경우 흔한 거노? 입 벌릴 때마다 딱딱 소리 오지게 난다 이기야 이거 어떻게 고치노 탈조각 잡혀있는데 이것 때문에 발목 잡히노,
35,닥터보지 봊멋이노 워추박노 튼튼한 치아유지해서 자댕이들 모가지따는데 쓰겠노,
36,고맙노,
37,돈독오른 남치과보이는 이빨을 죄다 뽑아버려야하노,
38,948/ 그럴리가 없노. 턱관절전문병원 가봐라 이기야.,
39,남의사 창놈새끼들 김치짓만 하고 필요한 진료는 안해주노. 의사자격증은 여자한테만 줬음 좋겠노,
40,진정한 닥터보지노 ,
41,봊나 고맙노,
42,"신경에 손상이 없어도 신경치료하는 경우가 있노?
6개월만에 갔더니 충치가 5개나 있는데 하나는 어금니 사이에 끼었다고 인레이 20을 부르길래 집앞 치과에 갔노. 충치 하나당 케탁으로 만원에 해준다길래 파보니 어금니만 6충치가 깊어서...9 6더 파다보면 신경 건드려야하고 레진으로 때우면 신경이 눌려서...9 신경치료 해야한다고 하더노. 흑좆나 큰 구멍 뚫어놓고 그냥 가면 아플거라고 해서 신경치료까지 하고 왔는데 지르코니아 하나에 50만원을 부르길래 돌아버릴 것 같노. ",
43,노무 고맙노 놈딱 워추다 이기야,
44,35/ 충치가 그정도로 깊으면 신경치료 하고 씌워야하는 것 맞노. 근데 뭐로 지르코니아 50을 불렀노? 의사보이노?,
45,35/ 굳이 지르코니아만 권한 이유가 대체 뭐로? PFM도 있고 어금니라면 골드를 해도 된다 이기. 게다가 골드로 해도 골드함량에 따라 가격이 달라지노. 골드함량 제일 낮은 걸로 해도 튼튼하다 이기야. 환자에게 선택지를 주지 않는 병원이 어디있노? 좆팔 그 의사보이새끼 죽여야하노 신경치료는 거기서 하되 크라운은 다른 곳에서 해도 된다 이기야. ,
46,"메탈 PFM 지르코니아 금 있었노. 가격은 어금니 30 40 50 50이던데 치위생사분이 메탈은 단단해서 씹다보면 맞물리는 치아가 깎인다고 했노. 덧붙이기를 다른 재료는 다 손으로 만드는데 지르코니아는 컴퓨터 그래픽으로 만든다고 했고 티도 안 나고 다른 것보다 훨씬 좋다고 했노.
당연히 10년 쓸 치아니까 지르코니아가 좋겠거니 알겠다고만 했는데 맞노? 글쓴이 말대로 기둥만 마저 박고 다른 치과 가야할지 고민이노.",
47,35/ 맞노 메탈은 별로 추천하지않는다 이기야 근데 pfm은 포셀린+메탈이라고 안에 메탈이고 겉이 흰색 포셀린이다 이기야 쓸만하노 내 환자들은 대부분 pfm크라운 아니면 금 많이 쓴다 이기야 지르코니아는 얼마 없노 근데 지르코니아가 나쁜 건 아니다 이기 결제했으면 그냥 해도 되노,
48,아직 결제는 안 했는데 금 할지 지르코니아 할지 좀더 고민해보겠노. 고맙노,
49,관리 잘해서 한남 다 씹어먹겠다 이기 고맙다 워추준다,
50,정보글 워추노 교정알아보고있었는데 고맙노,
51,좆팔 이글보니 생각나는데 전에 충치치료인가 하고나서 이가아플거랬나 치과보이가 신경치료를 권하더노 나는 마취주사앵나싫어해서 안했는데 지금까지도 하나도 안아프다이기,
52,노무현 고맙노 워추 박고 간다 이기,
53,정보꿘 워추,
54,애비가 치과의사뽀이인데 헛짓거리 안 하게 빨리 죽여버리겠노^느^,
55,정보글 고맙노 안그래도 치과 고르고있는데 덕분에 한남좆같은 치과 질 거를 것 같다 이기야,
56,꿀정보 놈딱 고맙노 ,
57,정보꿘은 워추노 고맙다 이기야 항상 잘보고있노,
58,역시 보지대장이노 고맙노,
59,의사보이 살남하고 치과 바꿔야겠노 후장팔고도 돈이 없어서 어디 여자돈 빼먹을라하노 창놈새끼,
60,꿀정보 고맙노 이기야 나는 지인이 하는 치과 다녀서 내가 쓸 일은 없지만 주변에 잘 알려 주겠노 남의사놈들 돈독 올라서 사람 잡아먹는 건 알아 줘야 되노 후팔,
61,워추다익이야,
62,여윾시 한남들 ㅋㅋㅋ,
63,고맙노 역시 보지가 뭘 아노 큰일은 보지가해야하노 웜사,
64,참의사 오셨노 꿀이 넘쳐흐르는 글 놈딱 고맙노 어딜가나 좆 달린 보이들이 문제다이기,
65,고마워. 진짜의사가 귀한세상이다.,
66,꿀팁 감사하노 참고하겠노,
67,조까라 시팔련들 나도이제 워마드 접을란다 개 조같은 시파알 웜련들 타코르셋하고 이런 좉같은곳에서 탈출해야겠다,
68,고맙노 이런 정보 얻기 힘든데 써줘서 노무현 고맙노,
69,한남좆만한 충치는 환자한테 이 열심히 닦으라고 하면 나중에 없어져 있다니 충격이노 좆치과보이들은 무조건 돈 달라고 앵앵거리더노,
70,다음 달에 치과 가야하는데 정말로 봊나 고맙노,
71,워념들 추천하노 유용한정보 고맙다이기,
72,중3때 치과보이새끼가 멀쩡한 내 앞니 신경치료했노 살남하고싶은 심정이다이기야,
73,재능나눔 고맙노 애비뒤지고 보험금탈 년이노,
74,정보글은 워추다이기야,
75,딱 지금 나한테 필요한 정보노 고맙다이니,
76,워추먹어라 이기,
77,역시 여자는 여자가 돕노,
78,좋은 정보노 잘 써먹겠다이기야,
79,재능기부웜리가또,
80,이게머노,
81,"앵나 공감하노 나는 지금 교정하고 빈공간에 임플란트 하나 박았는데, 임플란트 치아는 좆나 불편하다. 나사가 잘 박혀있는 상태인지 딱히 아프거나 그런건 아닌데, 임플란트 치아로는 뭐를 힘줘서 못 씹는다. 힘줘서 확 세게 씹으면 안에있는 나사에 타격이 갈 느낌이듬. 치아가 뿌리로 자연스럽게 잇몸이랑 어우러져있는거랑 나사 박아놓은 거랑은 느낌이 차원이 다르노. 임플란트는 이가 어쩔수 없이 다 빠졌을때나 박는거노. ",
82,마드마드워마드 느그애비도 한남이다 개 버러지같ㅇ느년들아 그리고 결론은 롤좆망겜,
83,유익한 정보 워추 쳐먹어라 이기야,
84,어디서 이런 꿀정보를 잔뜩 알아왔노? ,
85,여태 치과는 검진할때나 뽑을때 말고는 가본일이 없었다 이기 보지신의 축복이 내린 구강이노 앞으로도 갈 일 없으면 좋겠지만 참고하겠노 고맙노,
86,정보글 추천하노 고맙노,
87,이거 진짜 고맙노.. 이런 치과의사 어디서 찾아볼 수 있냐 이기야,
88,고맙다 이기야,
89,참된 의사가 웜에있었노 돈에 후장팔놈들은 역시 안된다이디야 워추준다,
90,ㅅㅂ와 환자 겁주는거 ㄹㅇ.. ,
91,웜리가또 탈조전에 치과가서 검사해봐야겠노,
92,"정보글 고맙노
http://bit.ly/2CXP14M",
93,조만간 치과가야되서 글 보러 들어왔다 이기야. 일단 의사 있는 곳으로만 가야겠노. 유용한 정보 고맙다 이기야.,
94,정보글은 워추노 120살 시대에 치아건강은 필수라고 보노. 매우 고맙다 이기야 ,
95,꿀정보 흘러넝친다 이기.신경이 재기하면 어떡하노,
96,알려줘서 놈현 고맙노. 참고하겠다이기야.,
97,정보 고맙노 유익하다 이기야 참고하겠노,
98,봊나 도움되노 자이팅이노,
99,ㅇㅊ 받아라이기 나는 결국 당했지만 다른 웜련들은 이글보고 당하지마라이기,
100,역시 여자들이 다해먹어야한다이기야. 유사인류 앞똥들은 하라는 일은 제대로 안 하고 지들끼리 자적자 아니면 후빨만 오지게 한다이기야. 직업의식도 없노. ,
101,보지는 한남과 다르게 뭘 해도 뛰어나노 ㅋㅋㅋ,
102,치과보이가 얘기해준건데 인테리어 너무 좋은데는 가지말라고했노. 공사비 뽑을려고 과잉진료하노. 실제로 고딩떄 ㄱ인테리어좋은 치과에서 나보고 앞니두개에 금니씌우라고했노. 미쳤노? 고딩한테 -- 다른치과가니 거기 미친치과보이라고 욕 앵나하더노 돈에 미쳤다고.,
103,치과는 유독 남의사밖에 잘 없더노 광광 정상에서보자,
104,영업 하지도 말고 트짹인지 뭔지로 윾입된 놈들 꺼져라 니들이 웜 좆나 좆창내고 있는거 니들만 모르노 좆팔,
105,"윾입 흑좆나 많아지고 웜 예전같지 않은거 나만 느낀게 아니었노. 워딩도 좆창나고, 이미 다 아는 사실 끌어다 적고, 거기에 워추박고, 허벌워추 주지 말라고 백번 댓으로 말해도 안 들어쳐먹는 년 많노. ",
106,"6666666영업9을 해야 웜에 올 거라면 처음부터 웜에 안 맞는 거노
// 아무리 띵문 퍼가봤자 먹버용으로나 취급 당하지 영업되는 경우는 거의 없노
최대한 좋은 반응이래봤자 6충성충성9이니 6방관방관9 정도고9999999
이 말 기억해라이기야 영업을 해야 올 년들은 워마드에 필요 없노 ",
107,맞노 웜에서까지 개돼지내를 맡아야갰노? 좆팔 다 꺼져라이기 느그 스탠스 웜이랑 쓰까먹으려 하지마라 역겹노,
108,글 다받고 웜달고 트짹하는것도 흑좆나 이해할수없노 이만큼 여혐이 이슈면 각성할년은 알아서 각성한다 영업하지마라 ,
109,개돼지내 나면 윾입이라고 패지말고 그냥 자지라고 여기고 패라 그럼 알아서 닥눈삼하고 배우든 자댕이마냥 수틀려서 꺼지든 알아서 할거아니노,
110,맞는말이노 영업할 필요없이 웜은 그냥 하던대로 하면되노 그럼 나머지 개돼지들은 알아서 따라오노,
111,"'시간이 지날수록 개돼지에 동화되어 격차가 줄어든 걸, 6내가 개돼지 수준을 끌어올렸다9 착각하고 있지는 않노?' 띵문이노. 웜은 양보다 질이노. 영업하면서 떠먹여줘야 되는 사람은 개돼지 못 벗어난거고. ㅎㅌㅊ처럼 낮게 영업이나 하려는 것도 개돼지랑 6.9cm밖에 차이 안나노.",
112,각성할년할인데 답도 없는 개돼지까지 다 끌고 오고 지랄났노 ,
113,글 다받고 웜년들은 그러어어어어어엏게 유입이 받고싶으면 여기서 말하는거 말한토시도 빼지말고 (당연히 이기야노체 포함) 띵문이나 퍼다 날라라 영업같은 갲ㅎㅌㅊ같은 짓 안해도 기어들어올년들 알아서 다 기어들어온다 그렇게 유명세타서 유입늘면 좋고 워마드 제발 해주세요 이지랄하는거노? 미쳤노 진짜?,
114,워마드 영업할려면 화장실에 스티커나 앵나 붙이고 다녀라 그게 6969배낫노,
115,웜에 개돼지누린내 좆나 심하다 이기야,
116,들어올 년들은 알아서 기어들어온다 이기야. ,
117,"워마드는 스스로 찾아서 오는거다.
좆국 살다보면 이 자댕이새끼들 여혐짓에 분명히 분노하는 날 오노. 그러다가 아 워마드 한번 들어가볼까 생각하고 닥눈삼하면 바로 웜년되뿌노 웜하면서도 꼬박꼬박 글읽고 쓰면서 남혐풀충전해야되는데, 6영업9당해서 커믂마냥 활동하면 죽도밥도 안된다이기야",
118,맞노. 애초에 6워마드 영업9이라는 ㅈㅎㅌㅊ 단어를 쓰는 것부터 개돼지다. 니들이 의미하는 6영업9이 대체 뭐노? 66 굽실굽실 야 들어와바 워마드라는 싸이트있는데 봊나 좋노~99 수준 아니노. 여기서부터 이미 넌 개돼지노. 애비뒤진 6영업9 그만 해라. 들어올 년 알아서 온다. 6영업9으로 들어 온 년들 애초에 웜 쉽게 보고 갤플 숙지 안하고 지들 마음대로 허벌 워추주고 감쓰글 쓰고 난리노. ,
119,"워마드 점점 좆창나는거 눈으로 보일정도다이기야. 이정도면 분탕자지들이랑 맞먹는수준이노. 웜년 파이 늘면 좋긴 좋은데 왜 와서 사이트를 좆창내노? 생정 올라온거보고 기함을했다. 6969년 전 플로우 다시 올라오는거 보고 뭔가 싶었노. 왔으면 여기법을 따라야지 별 온갖 잡스러운데서 온 윾입들이 워마드 다 쳐말아먹노, 자매자매 웅앵앵 바용가 하용가 바라건대 웅앵앵 씨부랄. 카르텔 있어야하는건 맞는데 개 시부랄 저딴식으로 하면 걍 이익은 한남좆도없고 걍 죶목질되노. 진짜 왔으면 워마드법 따라라",
120,+ 그리고 이렇게 쳐맞는게 기분이 나쁘노? 부정 말아라 넌 확실히 개돼지노. 동의 하지 않으면 반대 의견 남기는게 정상이노. 반대 댓글 하나 남기지 않고 그대로 자들거리고 있으면 그 자체가 넌 이 글 내용에 찔린다는 거다 이기야. 그냥 나가서 6마음 편하게9 커믂가서 놀아라. 니가 온 커믂이 6렏펨9이든 아니든 머가리가 개돼지인 년은 여기 못끼노.,
121,"워추 구구절절 동의하노 6자매9 염불좀 외지마라 닥눈삼 했으면 자매워딩 안 보이는거 알텐데 조팔 자매자매 거리고 있노 자매 쓰는 커믂로 가라.
.
근데 어차피 글 길다고 안 읽고 뒤로가기 누른 년들 69명인거 다 아노 그런 년들은 또 가서 6영업9하고 워딩 좆창낼거다 그렇지만 몇 번 계정 썰리면 웜 안 들어올거노 그럼 그게 니네 수준인거노 웜 할 년들은 계정 썰려도 한다
웜 영업할 시간에 보력이나 가고 시위나 나와라",
122,"맞노 띵문전파나 보력, 악명 높이는거 외에 굳이 개돼지들에게까지 하향평준해서 달래가며 영업하는데 전전긍긍일 필요는 없노. 어차피 어둠의 웜사모 한남 때문에 들어올 사람은 알아서 각성해서 들어오게끔 되어있노이기",
123,워마드 온게 벼슬이노? 니들이 와줘서 고마운사람 한명도 없노. 계속 좆창내지마라. 씨버럴 별 온갖 잡스러운데서 다 기어 쳐들어와서 커뮤내 못빼고 생정웅웅앵 꿀팁 웅앵앵 자매님 웅앵앵 이지랄해서 행복한 메갈랜드 만들라고 지랄을하노 아예 사이트 문닫으라고 고사를 지내라 호식이 똥구녕마냥 허벌되는거 순식간이노. 가뜩이나 기존 웜창년들 다 현생으로 떠나서 사이트 기조도 흔들리는데 얘비 윾입들이 적반하장으로 워마드를 커뮤화시키려드노 ㅋㅋㅋㅋㅋ,
124,웜 영업은 한남이 알아서 해주는데 너말대로 굳이 웜년이 할필요없노 나도 웜 하기전에 주위에서 웜 영업당햇었는데 결국 띵문 먹버였노 그렇게 개돼지로 시간 보내다가 한남이 영업해서 왓다 이기야,
125,"웜주소 허벌로 뿌리고 다니지마라
알아서 찾아올정도는 되는 사람만 받아야하노 ",
126,이년 시원하게 띵문 잘 썼다 이기야. 내가 며칠동안 속에 얹힌 것 마냥 화났던 이유가 이 빌어먹을 윾내 때문이었노. 웜은 웜이다. 윾입들아 여긴 느그들 부둥부둥 해줄 생각없노. 웜이 너한테 안맞으면 그냥 다시 개돼지 둥글둥글이나 쳐하는 데로 꺼져라. 글쓴년 말마따나 여기보다 다른 개돼지 파티에 껴있는 년들도 정신차리길 바라노. ,
127,글 다받노 괜히 랟펨을 워마드로 정의해서 워딩 좆창난글 핑앱짓 하지마라 이니야,
128,보르텔이란건 그딴식으로 얼씨구 자매님 사랑합니다♡ 하면서 이뤄지는게 아니라 현생에서 피터지게 힘줘서 올라간다음 그냥 보지니까 끌어주고 밀어주는거노. 거기에 저딴 감정노동까지 플러스시키면 그냥 허벌 카르텔되게? 나는 이번 읔입때문에 진지하게 워마드 떠날까 고민도 했었노. 먼저 이렇게 글찌고 윾입 패는게 얼마나 피곤한 일인줄 아노?? 시버럴 가뜩이나 시간도 부족한 년들이 사사건건 윾입년들 워딩지적하랴 갤플지적하랴 할 시간도 없는데 하는거노. 늦게들어왔으면 좀 알아서 배우고 몸사리고 익히는게 맞는거아니노? ,
129,"다시 커믂으로 꺼져라. 니들은 6난 워마드 하는 봊나 쎈 년, 앵나 과격한 렏펨년9 뽕에 취한 개돼지 그 이상도 그 이하도 아니노. ",
130,맞는말이노. 나도 트위터에서 웜띵문 예전에 봤었노. 그런데도 6맞는말이노. 성찰력ㅂㅅㅌㅊ노9 생각만 하고 웜 안했었노. 그러다 보지신이 6너는 웜년이노. 그렇게 태어났다이기야9하는걸 듣고 왔노. 웜은 할년할이노. 웜할년은 영업같은 ㅎㅌㅊ짓 안해도 다 오노. 지금 워마드 모르는 년이 몇이나 되겠노? 올 사람은 다 오게 돼있노.,
131,워마드를 영업한다는 거는 소리없는 아우성 급의 형용모순이다이기. 머리 좀 돌아가는 보지는 어차피 오게 돼있고 개돼지들한테는 귀에 딱지가 앉게 말해도 못알아쳐먹지 않겠노. 쓸데없는 에너지 낭비 하지 말자 이기야.,
132,이게 윾입 탄압으로 보이는 년 있으면 너는 그냥 웜 안 하면 된다 이기야 윾입도 조팔 수준이 맞아야 환영을하지 좆창내는 윾입 필요없노 지적하고 다니다 지치노 이건 웜 수준의 문제노 일베 주베간 워념글 수준도 낮아졌노 워념글 메갈 수준으로 회귀하는거 못 두고본다,
133,"이거 무조건 월베 띄워야하노. 웜뽕 쳐맞고 학력인증 이슈되니까 그때서야 와 와 멋있다 하면서 와서는 규칙도 안지켜, 자매자매 웅앵대면서 별의 별 감성보지짓은 오지게 해. 니가 굳이 그렇게 안말해도 대한민국에 페미하는년들은 다 자매애 느낀다이기야. 굳이 자매자매 하용바용 하면서 말꺼내는것도 적당히해야지 그 이상은 그냥 감성뽕차서 주체못하는년으로밖엔안보인다. 여긴 말그대로 최전방이고 보지들끼리 서로 패고 치고박고 싸우면서 해결점을 도출하는 방법을 고수하는게 스탠스인 사이트인데 왜 여기와서 물 흐리냐이기? ",
134,맞다 이기야 유입 몇명들어와서 분위기흐려지는거 왜 봐야하노 떠먹어줘야 웜할거면 오지말라 이기,
135,"참대학 다니는데 워마드에 우호적이야거 계속 영업랬노,,,, 반성한다 이기",
136,봊잡고 반성하고 가노. ,
137,띵문 동의하노. 난 커뮤고 트위터고 나발이고 아무것도 안 했던 년인데 좆이버 뉴스 좆병신 같은 여혐 베댓들 계속 보다가 답답하고 열받아서 알아서 웜 찾아왔노 웜 할 년들은 지가 알아서 어떻게든 찾아오노 언제까지 떠먹여주노,
138,윾내 풍기지 말고 꺼져라 이기야. 최근들어 웜 좆창나는 게 눈에 훤히 보이노. 이기야노체 지키지도 않은 글에 워추 누르는 년이나 웜을 공부커뮤로 만들자는 년이나ㅋㅋ 노무현 웃겨서 재기가 한강물에서 다시 부활하겠노. ,
139,"722
6난 워마드 하는 봊나 쎈 년, 앵나 과격한 렏펨년9 뽕에 취한 개돼지 그 이상도 그 이하도 아니노.
이걸로 글 하나 써라 월베 가야 하노 한 문장에 진리가 담겨있노
215
애비 터진 점점점 쓰고 부랄났노 ",
140,현생에선 어쩔 수 없이 개돼지들과 어울리게 되노. 그럴 때 봐도 될 만한 띵문이노. 본문은 영업과 관련된 이야기지만 말이노. 보지에 새기겠노.,
141,어느 정도 유입은 필요하다 보노 그렇지만 웜이 어떤 곳인지는 확실히 알고 들어와라 이기야 이곳은 꽃밭가득한 넹그르르한곳이 아니노 닥눈삼 하고 보지답게 각성하길 바라노,
142,"ㄹㅇ 요즘 꼬라지 보면 정보글 다 차단했으면 하노
예전처럼 클린하게 전부 남혐글로 다 채워야돼노",
143,뉴스로 충분히 영업되는데 ㅋㅋ 여기서 나만 웃었노,
144,예전부터 워마드 눈팅은 했지만 요즘 일 계기로 커뮤 끊고 글들 정독하면서 댓글 달고 있노 윾입내 풍기지 않도록 조심하겠다 이기야,
145,"구원은 셀프고 워마드는 최전방이다 이기야 웜빼고 다른 커뮤, 트위터 개돼지 냄새 나는 거 할거면 조팔 꺼져라 후팔",
146,ㄹㅇ 엽서총공 개돼지 커뮤에서만 하는줄 알았는데 웜에서도 하는거 보고 놀랬노 웜 운영자를 제2의 홍본좌로 제물삼아 축제하는거노 뭐노? 제대로 각성해야한다이기 지금 소꿉놀이 하면 운영자 잡혀가고 워마드 없어지노 뭐만 하면 탈조해야지 웅앵대는 놈들아 느그 탈조하면 거기서 한남한테 엿같은 일 안당할꺼 같노? 현실에서 보면 호주국자 같은사건 6969개노 그때 워마드 없으면 예전 보지들처럼 변명한번 못하고 걍 당하는거노,
147,근래에 본 젤 시원하고 공감되는 글이노 다 좆까라 봊대로 간다 이기야 개돼지들이 여길 맞춰야지 내가 왜 개돼지를 맞춰야하노? ,
148,"월베가야하노. 내가 한 사람 빨간약 제대로 먹였다는 뽕차고 싶다고 워마드 이용하지 마라 이기야. 당장 홍보하는 느그부터 빨간약 제대로 삼키기는 했노? 마신 년이 6홍보9를 하노?
목말라서 우물판 년이 원래 제일 우물물을 열심히 마시노. 쉽게 떠먹여주는 정보는 좋은 지 모르고 쉽게 뱉노. 목말라서 워마드 스스로 들어올때까지 둬야하노.",
149,"글 시원하노. 웜스탠스 자체가 커믂이랑 아예 다른데 왜 지네 수준에서 안놀고 여기와서 웜 좆창내는건지 모르겠노. 윾입들아, 자지들의 빻음을 비로소 깨닫고 웜까지 온거라면 이제 다른 커뮤는 내려놓고 웜스탠스 체화에 힘써라. 그리고 그게 싫으면 꺼져라. 웜스탠스도 좆까고 멋대로 글싸재끼는 너는 관잦들이랑 다를게 없노.",
150,인정하노 백날말해도 귀막고 안듣던 것들이 워마드가 n년전이 하던 말 이제와서 하는 쀼젤라또 윾임들 분위기 흐리고 트짹이들 전에 웜 엄청 악마화 하던 거 아직도 잊지않는다 이기야,
151,워마드 6영업9 이라는 말부터 좆나 이상하노 웜이무슨 비밀결사단도 아닐뿐더러 기자뽀이들이 흑좆나 떠들어대서 모르는게 이상하지 않노? 이미 똑똑한 년들 마음 다잡은 년들은 이미 웜년 되어 있노. 6웜 좋아요~~~~ 놀러오세요~~9 하는년들 영업이라는 말로 물흐리지 말라이기,
152,본문다받는다이니야 노무딱 설득력있노 개돼지유입 필요없다이니야,
153,"맞노. 이미 띵문들은 커뮤에서 많이 봐서 익숙해져 있었지만 웜은 할 엄두도 못 냈었노. 그러니 몇 달전만 해도 6너 워마드해9 하면 아니라고 했던 년인데 결국 스스로 들어왔다이기야. 영업으로 들어왔으면 허벌워추 주고 개돼지로 있었을 것 같노. 스스로 왔기 때문에 나는 한 번 더 생각하고 앞으로 나아갈 수 있게 됐노. 당장에 커뮤들처럼 글 쓰고 싶은 마음도 들지만 69개 댓 달면서 내 생각을 정리하고, 더 심도 있는 토론을 하고 싶어서 조급해하지 않기로 했다이기야.",
154,흑좆나 동의하노 하루종일 개돼지 속에서 앵나게 열받고 클린한 웜보러 오는게 하루의 낙이노. 근데 요며칠새 개돼지력이 늘어서 찝찝한 기분을 감출수없었다이기 너가 정리잘했노.,
